Index Number,Evo Stages with Eviolite,Evo Stages w/o Eviolite,Pokémon,Type,SR,AC,Hit Dice,HP,,,WSp,Ssp,Fsp,Senses,STR,DEX,CON,INT,WIS,CHA,MIN LVL FD,Ev,Evolve,Evo Stages,ST1,ST2,ST3,Skill,Res,Vul,Imm,Ability1,Ability2,HiddenAbility,Moves,Evolution for sheet,Evolve Bonus,Climbing Speed,Burrowing Speed,Description 17
34,3,3,Nidoking,Poison/Ground,12,15,12,112,,,30,,,,18,16,16,6,14,10,10,14,,3,CON,STR,,"Perception, Survival","Fairy, Fighting, Fire, Bug, Poison","Ground, Ice, Psychic, Water",Electric,Poison Point,Rivalry,Sheer Force,"Starting Moves: Double Kick, Focus Energy, Peck, Poison Sting, Chip Away, Thrash
Level 18: Earth Power, Megahorn

TM: 05,06, 09, 10, 11, 12, 13, 14, 15, 17, 18, 21, 23, 24, 25, 26, 27, 30, 31, 32, 34, 35, 36, 37, 38, 39, 41, 42, 44, 45, 46, 48, 49, 52, 60, 65, 67, 68, 71, 78, 80, 82, 84, 87, 88, 90, 94, 100

Abilities: Poison Point, Rivalry
Hidden Ability: Sheer Force",,,,,"Its steel-like hide adds to its powerful tackle. Its horns are so hard, they can pierce a diamond."
35,1,3,Clefairy,Fairy,1,13,8,18,,,30,,,Darkvision 30ft.,12,12,10,6,12,12,1,3,Clefable,3,WIS,CHA,,"Insight, Persuasion","Bug, Dark, Fighting","Poison, Steel",Dragon,Cute Charm,Magic Guard,Friend Guard,"Starting Moves: Disarming Voice, Encore, Growl, Pound, Spotlight
Level 2: Sing, Double Slap
Level 6: Defense Curl, Follow Me, Bestow
Level 10: Wake-Up Slap, Minimize
Level 14: Stored Power, Metronome, Cosmic Power
Level 18: Lucky Chant, Body Slam, Moonlight, Moonblast, Gravity, Meteor Mash, Healing Wish, After You

TM: 01, 03, 04, 06, 10, 11, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 25, 27, 29, 30, 31, 32, 33, 35, 38, 42, 44, 45, 48, 49, 56, 57, 73, 77, 85, 86, 87, 88, 90, 99, 100

Abilities: Cute Charm, Magic Guard
Hidden Ability: Friend Guard","Clefairy can evolve into Clefable at level 8 and above with the help of a Moon Stone. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,,,"Adored for their cute looks and playfulness. They are thought to be rare, as they do not appear often."
36,2,3,Clefable,Fairy,8,15,10,51,,,30,,,Darkvision 50ft.,14,15,12,6,14,14,5,8,,3,WIS,CHA,,"Insight, Persuasion","Bug, Dark, Fighting","Poison, Steel",Dragon,Cute Charm,Magic Guard,Unaware,"Starting Moves: Disarming Voice, Double Slap, Metronome, Minimize, Sing, Spotlight

TM: 01, 03, 04, 06, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 27, 29, 30, 31, 32, 33, 35, 38, 42, 44, 45, 48, 49, 52, 56, 57, 68, 73, 77, 85, 86, 87, 88, 90, 99, 100

Abilities: Cute Charm, Magic Guard
Hidden Ability: Unaware",,,,,"They appear to be very protective of their own world. It is a kind of fairy, rarely seen by people."
37,1,2,Vulpix,Fire,0.25,13,6,16,,,30,,,Darkvision 30ft.,10,13,10,6,10,12,1,,Ninetales,2,DEX,,,"Perception, Investigation","Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Flash Fire,,Drought,"Starting Moves: Ember, Tail Whip
Level 2: Roar, Baby-Doll Eyes, Quick Attack
Level 6: Confuse Ray, Fire Spin, Payback
Level 10: Will-O-Wisp, Feint Attack, Hex
Level 14: Flame Burst, Extrasensory, Safeguard
Level 18: Flamethrower, Imprison, Fire Blast, Grudge, Captivate, Inferno

TM: 05, 06, 10, 11, 17, 20, 21, 27, 32, 35, 38, 42, 43, 44, 45, 48, 50, 53, 61, 66, 77, 87, 88, 90, 97, 100

Abilities: Flash Fire
Hidden Ability: Drought","Vulpix can evolve into Ninetales at level 8 and above with the help of a Fire Stone. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,"Both its fur and its tails are beautiful. As it grows, the tails split and form more tails."
38,2,2,Ninetales,Fire,7,17,10,40,,,30,,,Darkvision 50ft.,14,18,11,6,12,12,5,8,,2,DEX,,,"Perception, Investigation","Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Flash Fire,,Drought,"Starting Moves: Confuse Ray, Flamethrower, Imprison, Nasty Plot, Quick Attack, Safeguard

TM: 03, 04, 05, 06, 10, 11, 15, 17, 20, 21, 22, 27, 32, 35, 38, 42, 43, 44, 45, 48, 50, 53, 61, 66, 68, 77, 85, 88, 90, 97, 100

Abilities: Flash Fire
Hidden Ability: Drought",,,,,"According to an enduring legend, nine noble saints were united and reincarnated as this Pokémon."
39,1,3,Jigglypuff,Normal/Fairy,1,13,8,18,,,20,,,,12,12,10,6,12,12,1,3,Wigglytuff,3,WIS,CHA,,"Insight, Persuasion","Bug, Dark","Poison, Steel","Dragon, Ghost",Cute Charm,Competitive,Friend Guard,"Starting Moves: Sing, Defense Curl
Level 2: Pound, Disarming Voice, Play Nice
Level 6: Disable, Double Slap
Level 10: Rollout, Round, Spit Up, Stockpile, Swallow, Wake-Up Slap
Level 14: Rest, Body Slam, Gyro Ball, Mimic
Level 18: Hyper Voice, Double-Edge

TM: 01, 06, 10, 11, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 27, 29, 30, 31, 32, 33, 35, 38, 42, 44, 45, 48, 49, 56, 57, 73, 74, 77, 85, 86, 87, 88, 90, 93, 99, 100

Abilities: Cute Charm, Competitive
Hidden Ability: Friend Guard","Jigglypuff can evolve into Wigglytuff at level 8 and above with the help of a Moon Stone. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,,,Uses its cute round eyes to enrapture its foe. It then sings a pleasing melody that lulls the foe to sleep.
40,2,3,Wigglytuff,Normal/Fairy,6,15,10,56,,,30,,,,14,13,14,6,14,14,5,8,,3,WIS,CHA,,"Insight, Persuasion","Bug, Dark","Poison, Steel","Dragon, Ghost",Cute Charm,Competitive,Frisk,"Starting Moves: Defense Curl, Disable, Double-Edge, Double Slap, Play Rough, Sing

TM: 01, 06, 10, 11, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, , 27, 29, 30, 31, 32, 33, 35, 38, 42, 44, 45, 48, 49, 52, 56, 57, 68, 73, 74, 77, 85, 86, 87, 88, 90, 93, 99, 100

Abilities: Cute Charm, Competitive
Hidden Ability: Frisk",,,,,"Its body is very elastic. By inhaling deeply, it can continue to inflate itself without limit."
41,1,3,Zubat,Poison/Flying,0.25,12,6,17,,,5,,25,Blindsight 80ft.,10,14,12,6,12,8,1,,Golbat,3,DEX,,,Stealth,"Bug, Fairy, Fighting, Grass, Poison","Elecric, Ice, Psychic, Rock",Ground,Inner Focus,,Infiltrator,"Starting Moves: Absorb
Level 2: Supersonic, Astonish, Bite
Level 6: Wing Attack, Confuse Ray, Air Cutter
Level 10: Swift, Poison Fang
Level 14: Mean Look, Leech Life, Haze
Level 18: Venoshock, Air Slash, Quick Guard

TM: 06, 09, 10, 11, 12, 17, 18, 19, 21, 27, 28, 30, 32, 36, 40, 41, 42, 44, 45, 46, 48, 51, 62, 66, 76, 87, 88, 89, 90, 100

Abilities: Inner Focus
Hidden Ability: Infiltrator","Zubat can evolve into Golbat at level 7 and above. When it evolves, its health increases by double its level, and it gains 12 points to add to its ability scores (max 20).",12,,,Emits ultrasonic cries while it flies. They act as a sonar used to check for objects in its way.
42,2,3,Golbat,Poison/Flying,7,15,10,50,,,10,,30,Blindsight 100ft.,14,18,14,6,14,8,5,7,Crobat,3,DEX,CON,,Stealth,"Bug, Fairy, Fighting, Grass, Poison","Elecric, Ice, Psychic, Rock",Ground,Inner Focus,,Infiltrator,"Starting Moves: Absorb, Astonish, Bite, Screech, Supersonic
Level 6: Wing Attack, Confuse Ray, Air Cutter
Level 10: Swift, Poison Fang
Level 14: Mean Look, Leech Life
Level 18: Haze, Venoshock, Air Slash, Quick Guard

TM: 06, 09, 10, 11, 12, 15, 17, 18, 19, 21, 27, 28, 30, 32, 36, 40, 41, 42, 44, 45, 46, 48, 51, 62, 66, 68,76, 87, 88, 89, 90, 100

Abilities: Inner Focus
Hidden Ability: Infiltrator","Golbat can evolve into Crobat at level 14 and above when its loyatly is +2 or higher. When it evolves, its health increases by double its level, and it gains 5 points to add to its ability scores (max 20).",5,,,"It attacks in a stealthy manner, without warning. Its sharp fangs are used to bite and to suck blood."
43,1,3,Oddish,Grass/Poison,0.25,13,6,17,,,20,,,Darkvision 30ft.,11,11,12,6,10,12,1,,Gloom,3,CON,,,"Nature, Survival","Electric, Fairy, Fighting, Grass, Water","Fire, Flying, Ice, Psychic",,Chlorophyll,,Run Away,"Starting Moves: Absorb, Growth
Level 2: Sweet Scent, Acid
Level 6: Poison Powder, Stun Spore, Sleep Powder
Level 10: Mega Drain, Lucky Chant, Moonlight
Level 14: Giga Drain, Toxic
Level 18: Natural Gift, Moonblast, Petal Dance, Grassy Terrain

TM: 06, 09, 10, 11, 17, 21, 22, 27, 32, 36, 42 44 45 48 53 75 83 86 87 88,90,96, 99, 100

Abilities: Chlorophyll
Hidden Ability: Run Away","Oddish can evolve into Gloom at level 7 and above. When it evolves, its health increases by double its level, and it gains 7 points to add to its ability scores (max 20).",7,,,"It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly."
44,2,3,Gloom,Grass/Poison,5,14,8,50,,,20,,,Darkvision 50ft.,14,12,15,6,12,10,5,7,Vileplume,3,CON,,,"Nature, Survival","Electric, Fairy, Fighting, Grass, Water","Fire, Flying, Ice, Psychic",,Chlorophyll,,Stench,"Starting Moves: Absorb, Acid, Growth, Sweet Scent
Level 6: Poison Powder, Stun Spore, Sleep Powder
Level 10: Mega Drain, Lucky Chant
Level 14: Moonlight, Giga Drain, Toxic
Level 18: Natural Gift, Petal Dance, Petal Blizzard, Grassy Terrain

TM: 06, 09, 10, 11, 17, 21, 22, 27, 32, 36, 42, 44, 45, 48, 53, 56, 75, 83, 86, 87, 88, 90, 96, 99, 100

Abilities: Chlorophyll
Hidden Ability: Stench","Gloom can evolve into Vileplume at level 14 and above with the help of a Leaf Stone, or Bellossom at level 14 and above with the help of a Sun Stone. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink."
45,3,3,Vileplume,Grass/Poison,13,16,12,107,,,30,,,Darkvision 80ft.,16,14,16,6,14,14,10,14,,3,CON,CHA,,"Nature, Survival, Persuasion","Electric, Fairy, Fighting, Grass, Water","Fire, Flying, Ice, Psychic",,Chlorophyll,,Effect Spore,"Starting Moves: Aromatherapy, Mega Drain, Poison Powder, Stun Spore
Level 18: Petal Dance, Solar Beam, Petal Blizzard

TM: 06, 09, 10, 11, 15, 17, 20, 21, 22, 27, 32, 36, 42, 44, 45, 53, 56, 68, 75, 83, 86, 87, 88, 90, 96,99,  100

Abilities: Chlorophyll
Hidden Ability: Effect Spore",,,,,Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.
46,1,2,Paras,Bug/Grass,0.25,13,6,18,,,20,,,"Darkvision 30ft., Tremorsense 30ft.",12,9,15,6,10,10,1,,Parasect,2,CON,,,Nature,"Electric, Fighting, Grass, Ground, Water","Fire, Flying, Poison, Rock, Ice, Bug",,Effect Spore,Dry Skin,Damp,"Starting Moves: Scratch
Level 2: Poison Powder, Stun Spore, Absorb
Level 6: Fury Cutter
Level 10: Spore, Slash
Level 14: Growth
Level 18: Giga Drain, Aromatherapy, Rage Powder, X-Scissor

TM: 06, 09, 10, 11, 16, 17, 21, 22, 27, 28, 31, 32, 36, 49, 42, 44, 45, 46, 48, 53, 54, 75, 81, 86, 87, 88, 90, 96, 100

Abilities: Effect Spore, Dry Skin
Hidden Ability: Damp","Paras can evolve into Parasect at level 7 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,,,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
47,2,2,Parasect,Bug/Grass,7,15,10,55,,,30,,,"Darkvision 50ft., Tremorsense 60ft.",16,12,16,6,12,10,5,7,,2,CON,,,"Nature, Survival","Electric, Fighting, Grass, Ground, Water","Fire, Flying, Poison, Rock, Ice, Bug",,Effect Spore,Dry Skin,Damp,"Starting Moves: Absorb, Cross Poison, Poison Powder, Scratch, Stun Spore
Level 6: Fury Cutter
Level 10: Spore
Level 14: Slash, Growth
Level 18: Giga Drain, Aromatherapy, Rage Powder, X-Scissor

TM: 06, 09, 10, 11, 15, 16, 17, 21, 22, 27, 28, 31, 32, 36, 40, 42, 44, 45, 46, 48, 53, 54, 68, 75, 81, 86, 87, 88, 90, 96, 100

Abilities: Effect Spore, Dry Skin
Hidden Ability: Damp",,,,,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.
48,1,2,Venonat,Bug/Poison,0.5,13,6,16,,,20,,,Darkvision 30ft.,13,11,11,6,12,10,1,,Venomoth,2,CON,,,Nature,"Bug, Fairy, Fighting, Grass, Poison","Fire, Flying, Psychic, Rock",,Compound Eyes,Tinted Lens,Run Away,"Starting Moves: Disable, Foresight, Tackle
Level 2: Supersonic, Confusion
Level 6: Poison Powder, Psybeam
Level 10: Stun Spore, Signal Beam
Level 14: Sleep Powder, Leech Life
Level 18: Zen Headbutt, Poison Fang, Psychic

TM: 06, 09, 10, 11, 17, 21, 22, 27, 28, 29, 32, 36, 42, 44, 45, 46, 48, 83, 87, 88, 90, 100

Abilities: Compound Eyes, Tinted Lens
Hidden Ability: Run Away","Venonat can evolve into Venomoth at level 9 and above. When it evolves, its health increases by double its level, and it gains 8 points to add to its ability scores (max 20).",8,,,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes."
49,2,2,Venomoth,Bug/Poison,8,15,10,64,,,10,,30,Darkvision 50ft.,14,17,12,6,14,10,8,9,,2,CON,,,Nature,"Bug, Fairy, Fighting, Grass, Poison","Fire, Flying, Psychic, Rock",,Shield Dust,Tinted Lens,Wonder Skin,"Starting Moves: Disable, Foresight, Gust, Quiver Dance, Silver Wind, Supersonic, Tackle, Confusion, Poison Powder, Psybeam
Level 10: Stun Spore, Signal Beam
Level 14: Sleep Powder, Leech Life
Level 18: Zen Headbutt, Poison Fang, Psychic, Bug Buzz

TM: 06, 09, 10, 11, 15, 17, 19, 21, 22, 27, 28, 29, 32, 36, 40, 42, 44, 45, 46, 48, 53, 62, 68, 83, 87, 88, 89, 90, 100

Abilities: Shield Dust, Tinted Lens
Hidden Ability: Wonder Skin",,,,,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
50,1,2,Diglett,Ground,0.5,12,6,18,,,20,,,Tremorsense 80ft.,12,12,14,6,10,10,1,,Dugtrio,2,DEX,,,"Stealth, Athletics","Poison, Rock","Grass, Ice, Water",Electric,Sand Veil,Arena Trap,Sand Force,"Starting Moves: Sand Attack, Scratch
Level 2: Growl, Astonish
Level 6: Mud-Slap, Magnitude, Bulldoze
Level 10: Sucker Punch, Mud Bomb
Level 14: Earth Power, Dig, Slash
Level 18: Earthquake, Fissure

TM: 06, 10, 11, 17, 21, 26, 27, 32, 36, 37, 39, 40, 42, 44, 45, 46, 49, 65, 78, 80, 87, 88, 90, 100

Abilities: Sand Veil, Arena Trap
Hidden Ability: Sand Force","Diglett can evolve into Dugtrio at level 8 and above. When it evolves, its health increases by double its level, and it gains 13 points to add to its ability scores (max 20).",13,,20,"It prefers dark places. It spends most of its time underground, though it may pop up in caves."
51,2,2,Dugtrio,Ground,8,15,10,55,,,20,,,Tremorsense 120ft.,15,18,16,6,12,10,5,8,,2,DEX,CON,,"Stealth, Athletics","Poison, Rock","Grass, Ice, Water",Electric,Sand Veil,Arena Trap,Sand Force,"Starting Moves: Growl, Night Slash, Sand Attack, Sand Tomb, Scratch, Tri Attack, Astonish, Rototiller
Level 6: Mud-Slap, Magnitude, Bulldoze
Level 10: Sucker Punch, Mud Bomb
Level 14: Earth Power, Dig
Level 18: Slash, Earthquake, Fissure

TM: 06, 10, 11, 15, 17, 21, 26, 27, 32, 34, 36, 37, 39, 40, 42, 44, 45, 46, 48, 49, 65, 68, 71, 78, 80, 87, 88, 90, 100

Abilities: Sand Veil, Arena Trap
Hidden Ability: Sand Force",,,,30,A team of triplets that can burrow to a depth of 60 miles. It’s reported that this triggers an earthquake.
52,1,2,Meowth,Normal,0.5,13,6,16,,,30,,,Darkvision 30ft.,10,15,10,8,10,12,1,,Persian,2,DEX,CHA,,"Persuasion, Deception, Sleight of Hand",None,Fighting,Ghost,Pickup,Technician,Unnerve,"Starting Moves: Growl, Scratch
Level 2: Bite, Fake Out
Level 6: Fury Swipes, Screech
Level 10: Feint Attack, Taunt
Level 14: Pay Day, Slash
Level 18: Nasty Plot, Assurance, Captivate, Night Slash, Feint

TM: 01, 06, 10, 11, 12, 17, 18, 21, 24, 25, 27, 30, 40, 41, 42, 44, 45, 46, 48, 49, 65, 66, 77, 85,87,88, 89, 90,,97, 100

Abilities: Pickup, Technician
Hidden Ability: Unnerve","Meowth can evolve into Persian at level 8 and above. When it evolves, its health increases by double its level, and it gains 11 points to add to its ability scores (max 20).",11,30,,Appears to be more active at night. It loves round and shiny things. It can’t stop itself from picking them up.
53,2,2,Persian,Normal,7,15,10,40,,,40,,,Darkvision 50ft.,14,18,10,8,12,14,5,8,,2,DEX,CHA,,"Persuasion, Deception, Sleight of Hand",None,Fighting,Ghost,Limber,Technician,Unnerve,"Starting Moves: Bite, Fake Out, Growl, Play Rough, Scratch, Swift, Switcheroo
Level 6: Fury Swipes, Screech
Level 10: Feint Attack, Taunt
Level 14: Power Gem
Level 18: Slash, Nasty Plot, Assurance, Captivate, Night Slash, Feint

TM: 01, 05, 06, 10, 11, 12, 15, 17, 18, 21, 24, 25, 27, 30, 32, 40, 41, 42, 44, 45, 46, 48, 49, 63, 65, 65, 66, 77, 85, 87, 88, 89, 90, 97, 100

Abilities: Limber, Technician
Hidden Ability: Unnerve",,,40,,The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen.
54,1,2,Psyduck,Water,0.5,13,6,18,,,20,25,,,11,12,14,6,12,10,1,,Golduck,2,CON,WIS,,Insight,"Fire, Ice, Steel, Water","Electric, Grass",,Damp,Cloud Nine,Swift Swim,"Starting Moves: Scratch, Water Sport
Level 2: Tail Whip, Water Gun, Confusion
Level 6: Fury Swipes, Water Pulse, Disable
Level 10: Screech, Zen Headbutt
Level 14: Aqua Tail, Soak, Psych Up
Level 18: Amnesia, Hydro Pump, Wonder Room

TM: 03, 04, 06, 07, 10, 13, 14, , 16, 17, 18, 21, 27, 29, 31, 32, 40, 42, 44, 45, 48, 55, 56, 65, 77, 87, 88, 90, 94, 98, 100

Abilities: Damp, Cloud Nine
Hidden Ability: Swift Swim","Psyduck can evolve into Golduck at level 9 and above. When it evolves, its health increases by double its level, and it gains 6 points to add to its ability scores (max 20).",6,,,"Always tormented by headaches. It uses psychic powers, but whether it intends to do so is not known."
55,2,2,Golduck,Water,10,16,10,72,,,30,30,,,14,15,14,6,14,10,8,9,,2,CON,WIS,,Insight,"Fire, Ice, Steel, Water","Electric, Grass",,Damp,Cloud Nine,Swift Swim,"Starting Moves: Aqua Jet, Me First, Scratch, Tail Whip, Water Gun, Water Sport, Confusion, Fury Swipes, Water Pulse, Disable
Level 10: Screech, Zen Headbutt
Level 14: Aqua Tail, Soak
Level 18: Psych Up, Amnesia, Hydro Pump, Wonder Room

TM: 03,04, 06, 07, 10, 13, 14, 15, 16, 17, 18, 21, 27, 29, 31, 32, 40, 42, 44, 45, 47, 48, 52, 55, 56, 65, 68, 77, 87, 88, 90, 94, 98, 100

Abilities: Damp, Cloud Nine
Hidden Ability: Swift Swim",,,,,"Its long, slim limbs end in broad flippers. They are used for swimming gracefully in lakes."
56,1,2,Mankey,Fighting,0.5,12,6,16,,,20,,,,12,14,11,6,10,8,1,,Primeape,2,DEX,STR,,"Athletics, Acrobatics","Bug, Dark, Rock","Fairy, Flying, Psychic",,Vital Spirit,Anger Point,Defiant,"Starting Moves: Covet, Focus Energy, Leer, Low Kick, Scratch
Level 2: Fury Swipes, Karate Chop
Level 6: Pursuit, Seismic Toss, Swagger
Level 10: Cross Chop, Assurance
Level 14: Punishment, Thrash
Level 18: Close Combat, Screech, Outrage, Final Gambit

TM: 01, 06, 08, 10, 11, 12, 17, 18, 21, 23, 24, 25, 26, 27, 31, 32, 39, 40, 42, 45, 46, 47, 48, 50, 52, 56, 62, 66, 78, 80, 84, 87, 88, 89, 90, 100

Abilities: Vital Spirit, Anger Point
Hidden Ability: Defiant","Mankey can evolve into Primeape at level 8 and above. When it evolves, its health increases by double its level, and it gains 10 points to add to its ability scores (max 20).",10,20,,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.
57,2,2,Primeape,Fighting,6,15,10,45,,,30,,,,16,16,13,6,12,8,5,8,,2,DEX,STR,,"Athletics, Acrobatics","Bug, Dark, Rock","Fairy, Flying, Psychic",,Vital Spirit,Anger Point,Defiant,"Starting Moves: Fling, Focus Energy, Leer, Low Kick, Rage, Scratch, Fury Swipes, Karate Chop
Level 6: Pursuit, Seismic Toss
Level 10: Swagger, Cross Chop, Assurance
Level 14: Punishment, Thrash
Level 18: Close Combat, Screech, Outrage, Final Gambit

TM: 01, 06, 08, 10, 11, 12, 15, 17, 18, 21, 23, 24, 25, 26, 27, 31, 32, 39, 40, 42, 44, 45, 46, 47, 48, 50, 52, 56, 62, 66, 68, 71, 78, 80, 84, 87, 88, 89, 90, 100

Abilities: Vital Spirit, Anger Point
Hidden Ability: Defiant",,,30,,It stops being angry only when nobody else is around. To view this moment is very difficult.
58,1,2,Growlithe,Fire,0.5,13,6,16,,,25,,,,13,14,10,6,10,10,1,,Arcanine,2,DEX,,,Perception,"Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Intimidate,Flash Fire,Justified,"Starting Moves: Bite, Roar
Level 2: Ember, Leer, Odor Sleuth
Level 6: Helping Hand, Flame Wheel
Level 10: Reversal, Fire Fang, Take Down
Level 14: Flame Burst, Agility, Retaliate, Flamethrower
Level 18: Crunch, Heat Wave, Outrage, Flare Blitz

TM: 05, 06, 10, 11, 17, 20, 21, 27, 32, 35, 38, 40, 42, 43, 44, 45, 46, 48, 50, 61, 87, 88, 90, 93, 95, 100

Abilities: Intimidate, Flash Fire
Hidden Ability: Justified","Growlithe can evolve into Arcanine at level 8 and above with the help of a Fire Stone. When it evolves, its health increases by double its level, and it gains 9 points to add to its ability scores (max 20).",9,,,"A Pokémon with a friendly nature. However, it will bark fiercely at anything invading its territory."
59,2,2,Arcanine,Fire,9,16,10,64,,,30,,,,16,18,12,6,12,10,8,8,,2,DEX,STR,,"Perception, Arcana","Bug, Fairy, Fire, Grass, Ice, Steel","Ground, Rock, Water",,Intimidate,Flash Fire,Justified,"Starting Moves: Bite, Fire Fang, Odor Sleuth, Roar, Thunder Fang
Level 14: Extreme Speed

TM: 05, 06, 10, 11, 15, 17, 20, 21, 22, 27, 32, 35, 38, 40, 42, 43, 44, 45, 46, 48, 50, 61, 68, 78, 87, 88, 90, 93, 95, 100

Abilities: Intimidate, Flash Fire
Hidden Ability: Justified",,,,,A legendary Pokémon in the East. Many people are charmed by the grace and beauty of its running.
